Quarter,Alpha_Gap_L2
1,1.3217769851700859e-05
2,1.3230076624173773e-05
3,1.3233380505304862e-05
4,1.3237038246733262e-05
5,1.3241421646217806e-05
6,1.3241075721227097e-05
7,1.3245032790906464e-05
8,1.3244078976458354e-05
9,1.3232053922729408e-05
10,1.3236660696682462e-05
11,1.3240145467499893e-05
12,1.324467834739047e-05
13,1.3245193482406921e-05
14,1.3241823232720158e-05
15,1.3243235161096633e-05
16,1.3247274826382887e-05
17,1.3243310081159461e-05
18,1.3239609585005596e-05
19,1.3234172516817428e-05
20,1.3240956834227758e-05
