Quarter,HANK_Real_GDP_Ann_BnEUR,Planner_Real_GDP_Ann_BnEUR,HANK_Index,Planner_Index
1,1050.7438274357849,1301.9137498761168,100.0,100.0
2,1060.9014329828783,1310.5825605437128,100.96670618297914,100.66585137981843
3,1071.7794338487959,1316.2104922538479,102.00197287519129,101.09813283553473
4,1082.8429203040253,1323.3705449794058,103.05489235626293,101.64809651217914
5,1093.4932985257512,1331.9346714742314,104.0684960476324,102.30590710029534
6,1102.8811355474427,1340.4895217752407,104.96194283994917,102.96300518392978
7,1110.281828191604,1348.9211054469072,105.66627175922743,103.61063515730311
8,1115.3190240609485,1357.1122954130908,106.14566509353205,104.23980048925871
9,1117.7709254718852,1366.2131429472522,106.37901420745646,104.93883662241478
10,1118.1814456814482,1375.0067749922387,106.41808369317161,105.61427553269769
11,1117.2492857342936,1383.6296385549645,106.32936940118005,106.27659771521911
12,1116.2077526851042,1392.9304734626091,106.2302459971691,106.99099487928083
13,1116.3270137117217,1402.8412152982805,106.2415961496519,107.75223899676669
14,1118.657547842083,1412.2855406525596,106.4633946574812,108.47765766257136
15,1124.242871519496,1421.02961395617,106.9949536856264,109.14928996574372
16,1133.716595514232,1430.0756781139517,107.89657439919797,109.84411818755507
17,1147.4941569459854,1440.4081037996118,109.20779422957052,110.63775184313658
18,1165.6460612751757,1452.3901174208659,110.93532322904966,111.55809035422412
19,1187.9575962200513,1462.9717176862873,113.05872708470915,112.37086311020957
20,1213.9054990101872,1473.5268080052122,115.52820652514124,113.18159963710539
