Quarter,Mean,Std,p05,p25,p50,p75,p95
1,0.31727166686030406,0.0005137721548497652,0.31643764659105245,0.31702192936532814,0.3172277005065959,0.3176272218582627,0.3179966991283287
2,4.746047929451331,0.05596597996313136,4.653259149072528,4.716343409814368,4.754986272238758,4.786579362191814,4.808987176437046
3,4.952313511940125,0.1262670002954244,4.709654081980403,4.91532792061589,4.964589706781819,5.036846494978292,5.140347278930537
4,4.553064025052491,0.2535380969674612,4.081515719512008,4.473791467837832,4.618670336308998,4.7102519106012135,4.901323133348253
5,4.416532973855647,0.2722739008338341,3.868337373386758,4.2248278184745285,4.463295996710195,4.654843203526795,4.734091997669143
6,4.258342705656295,0.35585870637215733,3.666340807571195,4.033738648191994,4.327895327731632,4.451615851366864,4.7938286747705785
7,4.217365168838425,0.323250781013586,3.602760623998276,4.030548120666431,4.290849272627761,4.453120331208726,4.577367961093972
8,4.118938575388654,0.3449376479662365,3.733937601260196,3.890449158617507,4.08059056320206,4.319273637870941,4.807952867456509
9,4.009948391624497,0.42648327253713225,3.3600674740959597,3.708514439645847,3.9963839861509745,4.322092625065874,4.662582715784879
10,3.9949378774566937,0.42449989945876965,3.2683003640041672,3.7983473563310284,4.1475526504967455,4.305278780969786,4.568929445402864
11,4.00838296418946,0.5320074446835806,3.355958274954243,3.6955916480963458,4.191192105491289,4.327066325956297,4.553136719140963
12,4.012828892424554,0.5402807965603831,3.117657156566186,3.754193146745692,4.113491024264322,4.299145184177102,4.620049459667825
13,4.047028008990198,0.5947332100104685,2.978395399082396,3.7848918211092464,4.2846006776336365,4.502748058029583,4.613560038224918
14,3.993915473525778,0.6010784883139477,2.8614200625596258,3.6034895005179095,4.040434337536781,4.431085760912655,4.727526881382018
15,4.056231356741615,0.5275355368176782,3.2128999517547805,3.7425344801770466,4.05239156160021,4.4711784627689894,4.748968764684591
16,4.035157802610481,0.524978931490822,3.2947800170198196,3.627939269844525,3.9444963993073907,4.512554263697016,4.699629916950793
17,3.798121901633041,0.5879387603844205,2.621002905774334,3.5273255174076508,3.8681449124932588,4.1974499851174105,4.552893496900584
18,3.564615495519451,0.5828141580478376,2.388698186362407,3.3141661370443694,3.620807690944918,3.9586659981958423,4.2757554138094305
19,3.488428556678741,0.6028871088485713,2.074415516351697,3.3501987178529458,3.5199452826577535,3.8291997336727936,4.24118168384214
20,3.4047684451715474,0.727076582641396,1.752802834408766,3.221145163640386,3.439457217340692,3.780209215242432,4.382708475959278
